"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"U1","1","LMR51450","","","","LMR51450_Footprints:LMR51450SDRRR",""
"RRT1","1","39.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"RFBT1","1","82k","","","","Resistor_SMD:R_0805_2012Metric","~"
"RFBB1","1","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R1","1","100k","","","","Resistor_SMD:R_0201_0603Metric","~"
"L1","1","4.7","","","","Inductor_SMD_Wurth:L_Wurth_WE-LQSH-2010","~"
"COUT2","1","22u","","","","Capacitor_SMD:C_0201_0603Metric","~"
"COUT1","1","220u","","","","Capacitor_SMD:C_0201_0603Metric","~"
"CIN1","1","4.7u","","","","Capacitor_SMD:C_0201_0603Metric","~"
"CBOOT1,CIN2","2","0.1u","","","","Capacitor_SMD:C_0201_0603Metric","~"
